,gall_name,cmt_contents,label
0,baseball_new8,ㅠ.ㅠ,0
1,baseball_new8,댓글 지우지?,0
2,baseball_new8,ㅋㅋ,0
3,baseball_new8,설렁설렁해라  - dc App,0
4,baseball_new8,Bcaa함 묵으라,0
5,baseball_new8,자지마라,0
6,baseball_new8,피부 원툴  - dc App,0
7,baseball_new8,야리둡  후덕해졌노 ㅋㅋ  - dc App,0
8,baseball_new8,피부도르 수상 ㅋㅋㅋ,0
9,baseball_new8,왜냐? 즈그 아들 딸들은 이미 졸업했기 때문,0
10,baseball_new8,ㅇㅈ ㅋㅋㅋㅋㅋ 리얼 재앙  - dc App,1
11,baseball_new8,퍄퍄 — (내향성 갤러리 ㄱㄱ),0
12,baseball_new8,ㅋㅋㅋㅋㅋ 시발,1
13,baseball_new8,남자새끼 지인인데도 그냥 도망가네,1
14,baseball_new8,시발새끼  - dc App,1
15,baseball_new8,시발련아,1
16,baseball_new8,나은아씨는 ㅇㅈ이지,0
17,baseball_new8,노잼,0
18,baseball_new8,di,0
19,baseball_new8,ㅋㅋㅋ,0
20,baseball_new8,지랄 ㅋㅋ,1
21,baseball_new8,퍄,0
22,baseball_new8,그걸 왜 붙여 ㅋㅋㅋㅋㅋ  - dc App,0
23,baseball_new8,ㄹㅇ,0
24,baseball_new8,ㄹㅇ 흠 흠...,0
25,baseball_new8,닮긴했네  - dc App,0
26,baseball_new8,다영이 어제 잘하더라 현건 리시브 병신인데도 꾸역꾸역 토스 잘주더라 ㅋㅋ 직관함,0
27,baseball_new8,ㅋㅋㅋ,0
28,baseball_new8,왜웃노 시발련이  - dc App,1
29,baseball_new8,기사 떴냐,0
30,baseball_new8,누렁아,0
31,baseball_new8,오토,0
32,baseball_new8,호구  - dc App,1
33,baseball_new8,댐,0
34,baseball_new8,비닐이 재활용 되는거 있고 안되는게 있음,0
35,baseball_new8,정석이 퍄,0
36,baseball_new8,백구야,0
37,baseball_new8,흑돌아 밥묵자잉,0
38,baseball_new8,퓨전요리 ㅅㅌㅊ,0
39,baseball_new8,운전자 보험따위론 안대줌  - dc App,0
40,baseball_new8,힝ㅠㅠ,0
41,baseball_new8,시---원,0
42,baseball_new8,ㄷㄷ,0
43,baseball_new8,명란젓이 튀나오노,1
44,baseball_new8,웩,0
45,baseball_new8,아ㅋㅋㅋ,0
46,baseball_new8,나쁜주작,0
47,baseball_new8,불가능,0
48,baseball_new8,분쇄기,0
49,baseball_new8,ㅋㅋㅋ   - dc App,0
50,baseball_new8,나라도 저정도 몸매면 올리고 반응 봄,0
51,baseball_new8,ㄹㅇㅋㅋ,0
52,baseball_new8,ㄹㅇ,0
53,baseball_new8,질투하농 ㅋㅋ,0
54,baseball_new8,여기에 여자 못 만나본 새끼들 천지라,1
55,baseball_new8,질투하농 ㅋㅋ,0
56,baseball_new8,여기에 여자 못 만나본 새끼들 천지라,1
57,baseball_new8,농어누나 ㅋㅋㅋㅋ,0
58,baseball_new8,각선미 예쁜 애들 많음,0
59,baseball_new8,http://m.dcinside.com/board/baseball_new8/7569505개추ㄱㄱ,0
60,baseball_new8,그거 우리학교도 있는데 ㅅㅂㅋㅋㅋ  - dc App,1
61,baseball_new8,분량 몰아준것도 그렇고,0
62,baseball_new8,지들이뽑는게 아니라 접대해서 뽑힌거잖어ㅋㅋ,1
63,baseball_new8,말투가 기음갤에서 보던 줫같은 말투인데,1
64,baseball_new8,나도 맞아보고싶네,0
65,baseball_new8,크리넥스 한통 바꿔줌,0
66,baseball_new8,일기를 써놨노 힘내라,0
67,baseball_new8,ㄹㅇ ㅋㅋ,0
68,baseball_new8,팩트다,0
69,baseball_new8,보빨 새끼들 반응보면 퇴물은 아닌거 같음,1
70,baseball_new8,ㅋㅋ,0
71,baseball_new8,솔직히 결혼할여자로선 ㅎㅌㅊ 이제 맘도아닌데 맘은빼야되는거 아니노 ㅋㅋ  - dc App,1
72,baseball_new8,돌싱'맘'이자너ㅋㅋ,0
73,baseball_new8,돼지들이 또  - dc App,1
74,baseball_new8,ㄷㄷ  - dc App,0
75,baseball_new8,ㅋㅋㅋㅋㄴ  - dc App,0
76,baseball_new8,Pornhub에 쯔위랑 모모 있음,0
77,baseball_new8,진짠줄 알았잖아  - dc App,0
78,baseball_new8,ㄷㄷㄷㄷ,0
